,Title,Year,Rating,Vote,Metascore,Budget,Certificate,Runtime,Genre,Overview,Artist,Director
969,American Reunion,(2012),6.7,"219,051",49        ,$57.01M,R,113 min,Comedy,"
Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion.","['Jason Biggs', 'Alyson Hannigan', 'Seann William Scott', 'Chris Klein']",Hayden Schlossberg; Jon Hurwitz
970,2 Guns,(2013),6.7,"219,044",55        ,$75.61M,R,109 min,"Action, Thriller","
Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.","['Denzel Washington', 'Mark Wahlberg', 'Paula Patton', 'Bill Paxton']",Baltasar Kormákur
971,Gangster Squad,(2013),6.7,"219,043",40        ,$46.00M,R,113 min,"Action, Crime, Drama","
It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city.","['Sean Penn', 'Ryan Gosling', 'Emma Stone', 'Giovanni Ribisi']",Ruben Fleischer
972,The Talented Mr. Ripley,(1999),7.4,"218,868",76        ,$81.30M,R,139 min,"Crime, Drama, Thriller","
In late 1950s New York, a young underachiever named Tom Ripley is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures.","['Matt Damon', 'Gwyneth Paltrow', 'Jude Law', 'Cate Blanchett']",Anthony Minghella
973,Revolutionary Road,(2008),7.3,"218,826",69        ,$22.91M,R,119 min,"Drama, Romance","
A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.","['Leonardo DiCaprio', 'Kate Winslet', 'Christopher Fitzgerald', 'Jonathan Roumie']",Sam Mendes
974,The Chronicles of Narnia: Prince Caspian,(2008),6.5,"217,364",62        ,$141.62M,PG,150 min,"Action, Adventure, Family","
The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.","['Ben Barnes', 'Skandar Keynes', 'Georgie Henley', 'William Moseley']",Andrew Adamson
975,Planet Terror,(2007),7.1,"217,019",62        ,-,R,105 min,"Action, Comedy, Horror","
After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release.","['Rose McGowan', 'Freddy Rodríguez', 'Josh Brolin', 'Marley Shelton']",Robert Rodriguez
976,Rocky IV,(1985),6.9,"216,823",40        ,$127.87M,PG,91 min,"Drama, Sport","
Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.","['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']",Sylvester Stallone
977,Ice Age: Continental Drift,(2012),6.5,"216,279",49        ,$161.32M,PG,88 min,"Animation, Adventure, Comedy","
Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.","['Ray Romano', 'Denis Leary', 'John Leguizamo', 'Aziz Ansari']",Michael Thurmeier; Steve Martino
978,Austin Powers in Goldmember,(2002),6.2,"216,170",62        ,$213.31M,PG-13,94 min,"Action, Adventure, Comedy","
Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.","['Mike Myers', 'Beyoncé', 'Seth Green', 'Michael York']",Jay Roach
979,A Walk to Remember,(2002),7.3,"215,910",35        ,$41.28M,PG,101 min,"Drama, Romance","
Two North Carolina teens, Landon Carter and Jamie Sullivan, are thrown together after Landon gets into trouble and is sentenced to perform community service.","['Mandy Moore', 'Shane West', 'Peter Coyote', 'Daryl Hannah']",Adam Shankman
980,Extraction,(2020),6.7,"215,899",56        ,-,R,116 min,"Action, Thriller","
Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","['Chris Hemsworth', 'Bryon Lerum', 'Ryder Lerum', 'Rudhraksh Jaiswal']",Sam Hargrave
981,Shrek Forever After,(2010),6.3,"215,135",58        ,$238.37M,PG,95 min,"Animation, Adventure, Comedy","
Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.","['Mike Myers', 'Cameron Diaz', 'Eddie Murphy', 'Antonio Banderas']",Mike Mitchell
982,EuroTrip,(2004),6.6,"215,014",45        ,$17.72M,R,92 min,Comedy,"
Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends.","['David Mandel', 'Scott Mechlowicz', 'Jacob Pitts', 'Michelle Trachtenberg', 'Travis Wester']",Alec Berg; Jeff Schaffer
983,Coming to America,(1988),7.1,"214,965",47        ,$128.15M,R,117 min,"Comedy, Romance","
An extremely pampered African prince travels to Queens, New York and goes undercover to find a wife that he can respect for her intelligence and strong will.","['Eddie Murphy', 'Paul Bates', 'Garcelle Beauvais', 'Feather']",John Landis
984,The Tomorrow War,(2021),6.5,"214,953",45        ,-,PG-13,138 min,"Action, Adventure, Drama","
A family man is drafted to fight in a future war where the fate of humanity relies on his ability to confront the past.","['Chris Pratt', 'Yvonne Strahovski', 'J.K. Simmons', 'Betty Gilpin']",Chris McKay
985,Teenage Mutant Ninja Turtles,(2014),5.8,"214,794",31        ,$191.20M,PG-13,101 min,"Action, Adventure, Comedy","
When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.","['Megan Fox', 'Will Arnett', 'William Fichtner', 'Noel Fisher']",Jonathan Liebesman
986,A Series of Unfortunate Events,(2004),6.8,"214,602",62        ,$118.63M,PG,108 min,"Adventure, Comedy, Family","
When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.","['Jim Carrey', 'Jude Law', 'Meryl Streep', 'Liam Aiken']",Brad Silberling
987,The Secret in Their Eyes,(2009),8.2,"214,403",80        ,$6.39M,R,129 min,"Drama, Mystery, Romance","
A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.","['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago', 'Carla Quevedo']",Juan José Campanella
